project,num_center_nodes,total_nodes
1968-v1.0.0-good,3,338
1966-v1.0.0-good,4,387
1977-v1.0.0-bad,1,72
1978-v1.0.0-good,1,82
1979-v1.0.0-bad,1,107
1981-v1.0.0-bad,2,109
1980-v1.0.0-good,1,105
1982-v1.0.0-good,2,112
1965-v1.0.0-bad,2,271
1988-v1.0.0-good,1,78
1974-v1.0.0-good,5,412
1967-v1.0.0-bad,3,316
1987-v1.0.0-bad,1,69
1973-v1.0.0-bad,3,300
1991-v1.0.0-bad,1,72
1975-v1.0.0-bad,2,332
1985-v1.0.0-bad,2,256
1993-v1.0.0-bad,1,71
1992-v1.0.0-good,2,103
1994-v1.0.0-good,1,74
1983-v1.0.0-bad,1,212
1995-v1.0.0-bad,2,87
1996-v1.0.0-good,2,97
1997-v1.0.0-bad,1,101
1984-v1.0.0-good,1,226
1962-v1.0.0-good,2,240
1998-v1.0.0-good,1,104
1986-v1.0.0-good,2,259
1999-v1.0.0-bad,1,104
2000-v1.0.0-good,1,108
2013-v1.0.0-bad,1,122
2021-v1.0.0-bad,1,169
1990-v1.0.0-good,1,325
2028-v1.0.0-bad,1,118
2023-v1.0.0-bad,2,163
2032-v1.0.0-bad,1,135
2030-v1.0.0-bad,2,132
2022-v1.0.0-good,2,264
2029-v1.0.0-good,1,166
2034-v1.0.0-bad,1,129
2033-v1.0.0-good,1,174
2026-v1.0.0-bad,2,221
2035-v1.0.0-good,1,171
2039-v1.0.0-good,1,117
2024-v1.0.0-good,3,269
2043-v1.0.0-bad,1,94
2045-v1.0.0-bad,1,132
2044-v1.0.0-bad,2,155
2038-v1.0.0-bad,1,117
2036-v1.0.0-good,2,180
1989-v1.0.0-bad,1,326
2053-v1.0.0-bad,2,66
2047-v1.0.0-good,2,126
2048-v1.0.0-bad,3,205
2025-v1.0.0-good,2,254
1976-v1.0.0-good,4,443
2051-v1.0.0-good,3,189
2040-v1.0.0-good,3,317
2054-v1.0.0-bad,3,125
2049-v1.0.0-good,3,204
2060-v1.0.0-bad,2,122
2046-v1.0.0-bad,6,309
148827-v1.0.0-bad,26,1262
2056-v1.0.0-bad,4,147
2058-v1.0.0-good,3,133
2050-v1.0.0-good,3,160
2062-v1.0.0-bad,2,96
2063-v1.0.0-bad,2,140
2061-v1.0.0-good,1,122
2066-v1.0.0-good,1,98
2188-v1.0.0-bad,1,69
2059-v1.0.0-good,3,157
2187-v1.0.0-bad,1,72
2068-v1.0.0-good,2,134
2067-v1.0.0-good,2,156
2192-v1.0.0-good,1,78
2191-v1.0.0-good,1,82
2197-v1.0.0-good,2,140
233705-v2.0.0-mixed,1,140
234107-v2.0.0-mixed,1,92
2064-v1.0.0-bad,1,171
2196-v1.0.0-bad,2,163
2065-v1.0.0-bad,1,212
233843-v2.0.0-mixed,2,162
2052-v1.0.0-good,7,315
1518-v1.0.0-bad,63,2661
234127-v2.0.0-mixed,4,339
234118-v2.0.0-mixed,6,516
234125-v2.0.0-mixed,13,351
234128-v2.0.0-mixed,7,512
234117-v2.0.0-mixed,6,529
234126-v2.0.0-mixed,4,405
234116-v2.0.0-mixed,2,550
234129-v2.0.0-mixed,4,354
234115-v2.0.0-mixed,2,550
234136-v2.0.0-mixed,1,102
234120-v2.0.0-mixed,6,519
234123-v2.0.0-mixed,6,541
234137-v2.0.0-mixed,1,102
234169-v2.0.0-mixed,1,61
234130-v2.0.0-mixed,4,417
234131-v2.0.0-mixed,4,356
234124-v2.0.0-mixed,31,571
234170-v2.0.0-mixed,1,61
234203-v2.0.0-mixed,1,61
234121-v2.0.0-mixed,4,430
234202-v2.0.0-mixed,1,61
234168-v2.0.0-mixed,2,135
234133-v2.0.0-mixed,7,366
234201-v2.0.0-mixed,2,135
234235-v2.0.0-mixed,1,55
234236-v2.0.0-mixed,1,55
234234-v2.0.0-mixed,3,125
234193-v2.0.0-mixed,3,201
234160-v2.0.0-mixed,3,201
234197-v2.0.0-mixed,5,219
234132-v2.0.0-mixed,4,383
234164-v2.0.0-mixed,5,209
234134-v2.0.0-mixed,7,388
234119-v2.0.0-mixed,6,516
234304-v2.0.0-mixed,1,118
234226-v2.0.0-mixed,3,216
234305-v2.0.0-mixed,1,118
234135-v2.0.0-mixed,7,393
234303-v2.0.0-mixed,3,191
234337-v2.0.0-mixed,1,147
234122-v2.0.0-mixed,6,541
234338-v2.0.0-mixed,1,147
234295-v2.0.0-mixed,3,310
234230-v2.0.0-mixed,5,234
234336-v2.0.0-mixed,3,242
234371-v2.0.0-mixed,1,144
234370-v2.0.0-mixed,1,144
234403-v2.0.0-mixed,1,144
234404-v2.0.0-mixed,1,144
234332-v2.0.0-mixed,5,369
234299-v2.0.0-mixed,5,318
234369-v2.0.0-mixed,3,229
234402-v2.0.0-mixed,3,229
234394-v2.0.0-mixed,3,334
234398-v2.0.0-mixed,5,344
234436-v2.0.0-mixed,1,130
234437-v2.0.0-mixed,1,130
234469-v2.0.0-mixed,1,118
234470-v2.0.0-mixed,1,118
234365-v2.0.0-mixed,5,344
234328-v2.0.0-mixed,3,361
234361-v2.0.0-mixed,3,334
234435-v2.0.0-mixed,3,213
234468-v2.0.0-mixed,3,191
148826-v1.0.0-bad,3,1324
234502-v2.0.0-mixed,1,147
234535-v2.0.0-mixed,1,144
234503-v2.0.0-mixed,1,147
234536-v2.0.0-mixed,1,144
234431-v2.0.0-mixed,5,340
234464-v2.0.0-mixed,5,318
234568-v2.0.0-mixed,1,144
234534-v2.0.0-mixed,3,229
234569-v2.0.0-mixed,1,144
234497-v2.0.0-mixed,5,369
234526-v2.0.0-mixed,3,334
234493-v2.0.0-mixed,3,361
234601-v2.0.0-mixed,1,130
234460-v2.0.0-mixed,3,310
234530-v2.0.0-mixed,5,344
234567-v2.0.0-mixed,3,229
234600-v2.0.0-mixed,3,213
234602-v2.0.0-mixed,1,130
234427-v2.0.0-mixed,3,332
234501-v2.0.0-mixed,3,242
234634-v2.0.0-mixed,1,164
234635-v2.0.0-mixed,1,164
234559-v2.0.0-mixed,3,334
234667-v2.0.0-mixed,1,157
234633-v2.0.0-mixed,3,266
234592-v2.0.0-mixed,3,332
234668-v2.0.0-mixed,1,157
234700-v2.0.0-mixed,1,157
234596-v2.0.0-mixed,5,340
234666-v2.0.0-mixed,3,245
234699-v2.0.0-mixed,3,245
234701-v2.0.0-mixed,1,157
234563-v2.0.0-mixed,5,344
234625-v2.0.0-mixed,3,373
234629-v2.0.0-mixed,5,381
234733-v2.0.0-mixed,1,164
234734-v2.0.0-mixed,1,164
234732-v2.0.0-mixed,3,266
234766-v2.0.0-mixed,1,157
234765-v2.0.0-mixed,3,245
234662-v2.0.0-mixed,5,348
234728-v2.0.0-mixed,5,381
234799-v2.0.0-mixed,1,157
234757-v2.0.0-mixed,3,338
234800-v2.0.0-mixed,1,157
234832-v2.0.0-mixed,1,131
234724-v2.0.0-mixed,3,373
234658-v2.0.0-mixed,3,338
234761-v2.0.0-mixed,5,348
234767-v2.0.0-mixed,1,157
234798-v2.0.0-mixed,3,245
234831-v2.0.0-mixed,3,210
234691-v2.0.0-mixed,3,338
234695-v2.0.0-mixed,5,348
234833-v2.0.0-mixed,1,131
234794-v2.0.0-mixed,5,348
234790-v2.0.0-mixed,3,338
234898-v2.0.0-mixed,1,144
234827-v2.0.0-mixed,5,330
234865-v2.0.0-mixed,1,147
234866-v2.0.0-mixed,1,147
234864-v2.0.0-mixed,3,242
234823-v2.0.0-mixed,3,322
234856-v2.0.0-mixed,3,361
234860-v2.0.0-mixed,5,369
234932-v2.0.0-mixed,1,144
234899-v2.0.0-mixed,1,144
234897-v2.0.0-mixed,3,229
234964-v2.0.0-mixed,1,134
234931-v2.0.0-mixed,1,144
234965-v2.0.0-mixed,1,134
234930-v2.0.0-mixed,3,229
234963-v2.0.0-mixed,3,216
234996-v2.0.0-mixed,3,210
234998-v2.0.0-mixed,1,131
234955-v2.0.0-mixed,3,335
234997-v2.0.0-mixed,1,131
234988-v2.0.0-mixed,3,322
235030-v2.0.0-mixed,1,147
234992-v2.0.0-mixed,5,330
235031-v2.0.0-mixed,1,147
234926-v2.0.0-mixed,5,344
234959-v2.0.0-mixed,5,343
235021-v2.0.0-mixed,3,361
235064-v2.0.0-mixed,1,144
234889-v2.0.0-mixed,3,334
235062-v2.0.0-mixed,3,229
234922-v2.0.0-mixed,3,334
234893-v2.0.0-mixed,5,344
235029-v2.0.0-mixed,3,242
235096-v2.0.0-mixed,1,144
235129-v2.0.0-mixed,1,134
235097-v2.0.0-mixed,1,144
235063-v2.0.0-mixed,1,144
235130-v2.0.0-mixed,1,134
235095-v2.0.0-mixed,3,229
235091-v2.0.0-mixed,5,344
235058-v2.0.0-mixed,5,344
235170-v2.0.0-mixed,3,199
235128-v2.0.0-mixed,3,216
235120-v2.0.0-mixed,3,335
235124-v2.0.0-mixed,5,343
235054-v2.0.0-mixed,3,334
235171-v2.0.0-mixed,3,194
235172-v2.0.0-mixed,3,199
235087-v2.0.0-mixed,3,334
235213-v2.0.0-mixed,3,194
235212-v2.0.0-mixed,3,199
235214-v2.0.0-mixed,3,199
235254-v2.0.0-mixed,3,199
235025-v2.0.0-mixed,5,369
235255-v2.0.0-mixed,3,194
235297-v2.0.0-mixed,3,194
235298-v2.0.0-mixed,3,199
235296-v2.0.0-mixed,3,199
235256-v2.0.0-mixed,3,199
235237-v2.0.0-mixed,4,365
235362-v2.0.0-mixed,4,190
235340-v2.0.0-mixed,3,199
235371-v2.0.0-mixed,1,71
235241-v2.0.0-mixed,7,374
235339-v2.0.0-mixed,3,194
235372-v2.0.0-mixed,1,71
235366-v2.0.0-mixed,5,214
235404-v2.0.0-mixed,1,82
235199-v2.0.0-mixed,7,472
235403-v2.0.0-mixed,1,82
235157-v2.0.0-mixed,9,791
235338-v2.0.0-mixed,3,199
235394-v2.0.0-mixed,4,219
235398-v2.0.0-mixed,5,243
235279-v2.0.0-mixed,4,455
235427-v2.0.0-mixed,4,213
235449-v2.0.0-mixed,1,73
235447-v2.0.0-mixed,3,171
235450-v2.0.0-mixed,1,73
235402-v2.0.0-mixed,4,223
235283-v2.0.0-mixed,7,464
235452-v2.0.0-mixed,2,87
235451-v2.0.0-mixed,2,87
235446-v2.0.0-mixed,3,178
235370-v2.0.0-mixed,4,194
235431-v2.0.0-mixed,5,237
235439-v2.0.0-mixed,4,219
235475-v2.0.0-mixed,4,220
235494-v2.0.0-mixed,3,178
235479-v2.0.0-mixed,7,245
235195-v2.0.0-mixed,4,463
235536-v2.0.0-mixed,3,178
235492-v2.0.0-mixed,3,178
235448-v2.0.0-mixed,3,178
235493-v2.0.0-mixed,3,171
235535-v2.0.0-mixed,3,171
235534-v2.0.0-mixed,3,178
235577-v2.0.0-mixed,3,190
235517-v2.0.0-mixed,4,228
235521-v2.0.0-mixed,7,252
235321-v2.0.0-mixed,6,883
235620-v2.0.0-mixed,3,195
235578-v2.0.0-mixed,3,195
235619-v2.0.0-mixed,3,190
235601-v2.0.0-mixed,4,359
235647-v2.0.0-mixed,7,265
235605-v2.0.0-mixed,7,368
235662-v2.0.0-mixed,3,195
235576-v2.0.0-mixed,3,195
235643-v2.0.0-mixed,4,256
235661-v2.0.0-mixed,3,190
235618-v2.0.0-mixed,3,195
235703-v2.0.0-mixed,3,190
235704-v2.0.0-mixed,3,195
235702-v2.0.0-mixed,3,195
235744-v2.0.0-mixed,3,195
235660-v2.0.0-mixed,3,195
235727-v2.0.0-mixed,4,235
235745-v2.0.0-mixed,3,190
235746-v2.0.0-mixed,3,195
235563-v2.0.0-mixed,9,694
235786-v2.0.0-mixed,3,195
235773-v2.0.0-mixed,7,248
235788-v2.0.0-mixed,3,195
235815-v2.0.0-mixed,7,250
235731-v2.0.0-mixed,7,245
235829-v2.0.0-mixed,3,173
235787-v2.0.0-mixed,3,190
235153-v2.0.0-mixed,6,782
235830-v2.0.0-mixed,3,180
235769-v2.0.0-mixed,4,239
235828-v2.0.0-mixed,3,180
235853-v2.0.0-mixed,4,220
235857-v2.0.0-mixed,7,230
235871-v2.0.0-mixed,3,173
235870-v2.0.0-mixed,3,180
235559-v2.0.0-mixed,6,685
235872-v2.0.0-mixed,3,180
237314-v2.0.0-mixed,1,82
235895-v2.0.0-mixed,4,228
235913-v2.0.0-mixed,3,173
235914-v2.0.0-mixed,3,180
235811-v2.0.0-mixed,4,241
237345-v2.0.0-mixed,1,71
237313-v2.0.0-mixed,1,82
235912-v2.0.0-mixed,3,180
237308-v2.0.0-mixed,5,249
237346-v2.0.0-mixed,1,71
237304-v2.0.0-mixed,4,225
237340-v2.0.0-mixed,5,220
237336-v2.0.0-mixed,4,196
235899-v2.0.0-mixed,7,237
238753-v2.0.0-mixed,2,218
237344-v2.0.0-mixed,4,194
237312-v2.0.0-mixed,4,223
238794-v2.0.0-mixed,2,218
238795-v2.0.0-mixed,2,221
238777-v2.0.0-mixed,3,322
238755-v2.0.0-mixed,2,218
235325-v2.0.0-mixed,9,892
235689-v2.0.0-mixed,9,795
235685-v2.0.0-mixed,6,786
238796-v2.0.0-mixed,2,218
238754-v2.0.0-mixed,2,221
238837-v2.0.0-mixed,2,218
238736-v2.0.0-mixed,4,546
238781-v2.0.0-mixed,5,339
238740-v2.0.0-mixed,6,562
238822-v2.0.0-mixed,5,291
238836-v2.0.0-mixed,2,221
238918-v2.0.0-mixed,2,221
238876-v2.0.0-mixed,2,218
238878-v2.0.0-mixed,2,218
238919-v2.0.0-mixed,2,218
238835-v2.0.0-mixed,2,218
238818-v2.0.0-mixed,3,275
238945-v2.0.0-mixed,5,279
238904-v2.0.0-mixed,5,273
238900-v2.0.0-mixed,3,257
238877-v2.0.0-mixed,2,221
238958-v2.0.0-mixed,2,218
238959-v2.0.0-mixed,2,221
238941-v2.0.0-mixed,3,263
238917-v2.0.0-mixed,2,218
238859-v2.0.0-mixed,4,600
238999-v2.0.0-mixed,2,216
238863-v2.0.0-mixed,6,617
238960-v2.0.0-mixed,2,218
239040-v2.0.0-mixed,2,216
239082-v2.0.0-mixed,2,219
239083-v2.0.0-mixed,2,216
239023-v2.0.0-mixed,3,349
239064-v2.0.0-mixed,3,275
239042-v2.0.0-mixed,2,216
239000-v2.0.0-mixed,2,219
239001-v2.0.0-mixed,2,216
239068-v2.0.0-mixed,5,281
239041-v2.0.0-mixed,2,219
239027-v2.0.0-mixed,5,356
239123-v2.0.0-mixed,2,219
239122-v2.0.0-mixed,2,216
239146-v2.0.0-mixed,3,257
239081-v2.0.0-mixed,2,216
239150-v2.0.0-mixed,5,263
239124-v2.0.0-mixed,2,216
239417-v2.0.0-mixed,0,0
239416-v2.0.0-mixed,4,127
239163-v2.0.0-mixed,2,216
239418-v2.0.0-mixed,0,0
238986-v2.0.0-mixed,6,548
239204-v2.0.0-mixed,2,216
239205-v2.0.0-mixed,2,219
238982-v2.0.0-mixed,4,542
239450-v2.0.0-mixed,0,0
239449-v2.0.0-mixed,0,0
239105-v2.0.0-mixed,4,596
239481-v2.0.0-mixed,0,0
239482-v2.0.0-mixed,0,0
239187-v2.0.0-mixed,3,261
239408-v2.0.0-mixed,4,256
239165-v2.0.0-mixed,2,216
239513-v2.0.0-mixed,0,0
239448-v2.0.0-mixed,4,127
239480-v2.0.0-mixed,4,127
239191-v2.0.0-mixed,5,267
239206-v2.0.0-mixed,2,216
239514-v2.0.0-mixed,0,0
239545-v2.0.0-mixed,0,0
239546-v2.0.0-mixed,0,0
239164-v2.0.0-mixed,2,219
239577-v2.0.0-mixed,0,0
239440-v2.0.0-mixed,4,256
239512-v2.0.0-mixed,4,142
239544-v2.0.0-mixed,4,142
239578-v2.0.0-mixed,0,0
239472-v2.0.0-mixed,4,260
239609-v2.0.0-mixed,0,0
239610-v2.0.0-mixed,0,0
239576-v2.0.0-mixed,4,142
239608-v2.0.0-mixed,4,127
239444-v2.0.0-mixed,7,267
239508-v2.0.0-mixed,7,294
239641-v2.0.0-mixed,0,0
239476-v2.0.0-mixed,7,271
239642-v2.0.0-mixed,0,0
239536-v2.0.0-mixed,4,268
239673-v2.0.0-mixed,0,0
239674-v2.0.0-mixed,0,0
239504-v2.0.0-mixed,4,268
239412-v2.0.0-mixed,7,267
239640-v2.0.0-mixed,4,127
239540-v2.0.0-mixed,7,294
239572-v2.0.0-mixed,7,298
239814-v2.0.0-mixed,0,0
239672-v2.0.0-mixed,4,127
239813-v2.0.0-mixed,0,0
239600-v2.0.0-mixed,4,264
239845-v2.0.0-mixed,0,0
239632-v2.0.0-mixed,4,264
239846-v2.0.0-mixed,0,0
239604-v2.0.0-mixed,7,275
239812-v2.0.0-mixed,4,142
239664-v2.0.0-mixed,4,268
239877-v2.0.0-mixed,0,0
239878-v2.0.0-mixed,0,0
239668-v2.0.0-mixed,7,279
239636-v2.0.0-mixed,7,275
239910-v2.0.0-mixed,0,0
239909-v2.0.0-mixed,0,0
239844-v2.0.0-mixed,4,142
239876-v2.0.0-mixed,4,142
239942-v2.0.0-mixed,0,0
239941-v2.0.0-mixed,0,0
239804-v2.0.0-mixed,4,314
239808-v2.0.0-mixed,7,340
239568-v2.0.0-mixed,4,272
239973-v2.0.0-mixed,0,0
239908-v2.0.0-mixed,4,142
239974-v2.0.0-mixed,0,0
239940-v2.0.0-mixed,4,142
239109-v2.0.0-mixed,6,603
239840-v2.0.0-mixed,7,340
240005-v2.0.0-mixed,0,0
239972-v2.0.0-mixed,4,142
240004-v2.0.0-mixed,4,127
240006-v2.0.0-mixed,0,0
240037-v2.0.0-mixed,0,0
239904-v2.0.0-mixed,7,334
240038-v2.0.0-mixed,0,0
239836-v2.0.0-mixed,4,314
239936-v2.0.0-mixed,7,334
240070-v2.0.0-mixed,0,0
240069-v2.0.0-mixed,0,0
239964-v2.0.0-mixed,4,312
239868-v2.0.0-mixed,4,318
239900-v2.0.0-mixed,4,308
240028-v2.0.0-mixed,4,256
240101-v2.0.0-mixed,1,48
240036-v2.0.0-mixed,4,127
239932-v2.0.0-mixed,4,308
240100-v2.0.0-mixed,4,129
239996-v2.0.0-mixed,4,256
240102-v2.0.0-mixed,1,48
240133-v2.0.0-mixed,1,48
240134-v2.0.0-mixed,1,48
240060-v2.0.0-mixed,4,260
240032-v2.0.0-mixed,7,267
240000-v2.0.0-mixed,7,267
240064-v2.0.0-mixed,7,271
239968-v2.0.0-mixed,7,338
240166-v2.0.0-mixed,1,48
240197-v2.0.0-mixed,1,48
240068-v2.0.0-mixed,4,127
240165-v2.0.0-mixed,1,48
240198-v2.0.0-mixed,1,48
240092-v2.0.0-mixed,4,236
240230-v2.0.0-mixed,1,48
240229-v2.0.0-mixed,1,48
240164-v2.0.0-mixed,4,129
240128-v2.0.0-mixed,7,263
240096-v2.0.0-mixed,7,248
240261-v2.0.0-mixed,1,48
240262-v2.0.0-mixed,1,48
240132-v2.0.0-mixed,4,144
240156-v2.0.0-mixed,4,234
240228-v2.0.0-mixed,4,144
240124-v2.0.0-mixed,4,236
240260-v2.0.0-mixed,4,129
239872-v2.0.0-mixed,7,344
148823-v1.0.0-bad,137,6516
240220-v2.0.0-mixed,4,236
240160-v2.0.0-mixed,7,246
240252-v2.0.0-mixed,4,236
240256-v2.0.0-mixed,7,248
240282-v2.0.0-mixed,4,129
240188-v2.0.0-mixed,4,236
240192-v2.0.0-mixed,7,263
240322-v2.0.0-mixed,4,140
240342-v2.0.0-mixed,4,155
240362-v2.0.0-mixed,4,162
240382-v2.0.0-mixed,4,129
240302-v2.0.0-mixed,4,155
148822-v1.0.0-bad,46,5945
240224-v2.0.0-mixed,7,263
240321-v2.0.0-mixed,7,327
240301-v2.0.0-mixed,7,346
240458-v2.0.0-mixed,4,184
240457-v2.0.0-mixed,5,220
240381-v2.0.0-mixed,7,315
240518-v2.0.0-mixed,4,182
240281-v2.0.0-mixed,7,315
240419-v2.0.0-mixed,5,331
240341-v2.0.0-mixed,7,344
240517-v2.0.0-mixed,5,218
240479-v2.0.0-mixed,5,325
240577-v2.0.0-mixed,5,264
240581-v2.0.0-mixed,4,333
240578-v2.0.0-mixed,4,222
240498-v2.0.0-mixed,7,370
240539-v2.0.0-mixed,5,391
240438-v2.0.0-mixed,7,380
240361-v2.0.0-mixed,7,385
240558-v2.0.0-mixed,7,454
240585-v2.0.0-mixed,2,554
240588-v2.0.0-mixed,6,552
240591-v2.0.0-mixed,6,542
240582-v2.0.0-mixed,18,532
240583-v2.0.0-mixed,9,559
240592-v2.0.0-mixed,4,537
240596-v2.0.0-mixed,12,357
240589-v2.0.0-mixed,6,539
240586-v2.0.0-mixed,2,573
240584-v2.0.0-mixed,2,554
240590-v2.0.0-mixed,6,539
240599-v2.0.0-mixed,5,385
240597-v2.0.0-mixed,4,399
240600-v2.0.0-mixed,4,394
240598-v2.0.0-mixed,6,345
240587-v2.0.0-mixed,2,573
240595-v2.0.0-mixed,29,594
240601-v2.0.0-mixed,18,620
240602-v2.0.0-mixed,6,647
240593-v2.0.0-mixed,6,564
148819-v1.0.0-bad,46,6831
240605-v2.0.0-mixed,2,661
240594-v2.0.0-mixed,6,564
240603-v2.0.0-mixed,2,642
240611-v2.0.0-mixed,4,625
240604-v2.0.0-mixed,2,642
240691-v2.0.0-mixed,4,176
240617-v2.0.0-mixed,4,406
240607-v2.0.0-mixed,6,640
240692-v2.0.0-mixed,18,281
240608-v2.0.0-mixed,6,627
240693-v2.0.0-mixed,6,308
240606-v2.0.0-mixed,2,661
240618-v2.0.0-mixed,7,446
240609-v2.0.0-mixed,6,627
240694-v2.0.0-mixed,2,303
240616-v2.0.0-mixed,4,460
240695-v2.0.0-mixed,2,303
240615-v2.0.0-mixed,10,418
240610-v2.0.0-mixed,6,630
240613-v2.0.0-mixed,6,652
240612-v2.0.0-mixed,6,652
240696-v2.0.0-mixed,2,322
240708-v2.0.0-mixed,8,188
240703-v2.0.0-mixed,6,313
240710-v2.0.0-mixed,4,203
240699-v2.0.0-mixed,6,288
240706-v2.0.0-mixed,11,200
240697-v2.0.0-mixed,2,322
240717-v2.0.0-mixed,1,64
240745-v2.0.0-mixed,1,54
240718-v2.0.0-mixed,1,64
240746-v2.0.0-mixed,1,54
240709-v2.0.0-mixed,7,337
240712-v2.0.0-mixed,4,205
240614-v2.0.0-mixed,26,682
240704-v2.0.0-mixed,6,313
240707-v2.0.0-mixed,4,254
240713-v2.0.0-mixed,4,232
240773-v2.0.0-mixed,1,54
240774-v2.0.0-mixed,1,54
240801-v2.0.0-mixed,1,54
240711-v2.0.0-mixed,4,266
240802-v2.0.0-mixed,1,54
240829-v2.0.0-mixed,1,57
240714-v2.0.0-mixed,7,228
240830-v2.0.0-mixed,1,57
240705-v2.0.0-mixed,28,343
240698-v2.0.0-mixed,6,301
240716-v2.0.0-mixed,7,240
240740-v2.0.0-mixed,4,182
240700-v2.0.0-mixed,6,288
240715-v2.0.0-mixed,7,233
240701-v2.0.0-mixed,6,291
240768-v2.0.0-mixed,4,178
240796-v2.0.0-mixed,4,180
240824-v2.0.0-mixed,4,199
240702-v2.0.0-mixed,4,289
240889-v2.0.0-mixed,2,231
240888-v2.0.0-mixed,2,234
240887-v2.0.0-mixed,2,231
240928-v2.0.0-mixed,2,231
240929-v2.0.0-mixed,2,234
240956-v2.0.0-mixed,5,294
241010-v2.0.0-mixed,2,231
240971-v2.0.0-mixed,2,231
240969-v2.0.0-mixed,2,231
240930-v2.0.0-mixed,2,231
240952-v2.0.0-mixed,3,288
241012-v2.0.0-mixed,2,231
240915-v2.0.0-mixed,5,362
240970-v2.0.0-mixed,2,234
240911-v2.0.0-mixed,3,355
240993-v2.0.0-mixed,3,288
240997-v2.0.0-mixed,5,294
241011-v2.0.0-mixed,2,234
240870-v2.0.0-mixed,4,561
240874-v2.0.0-mixed,6,567
241358-v2.0.0-mixed,1,106
241357-v2.0.0-mixed,1,106
241053-v2.0.0-mixed,2,231
241051-v2.0.0-mixed,2,231
241092-v2.0.0-mixed,2,231
241052-v2.0.0-mixed,2,234
241389-v2.0.0-mixed,1,106
241075-v2.0.0-mixed,3,274
241390-v2.0.0-mixed,1,106
241094-v2.0.0-mixed,2,231
241079-v2.0.0-mixed,5,280
241422-v2.0.0-mixed,1,106
241421-v2.0.0-mixed,1,106
241093-v2.0.0-mixed,2,234
241423-v2.0.0-mixed,2,195
241454-v2.0.0-mixed,1,106
241453-v2.0.0-mixed,1,106
241424-v2.0.0-mixed,2,195
148821-v1.0.0-bad,137,6516
241392-v2.0.0-mixed,2,246
241485-v2.0.0-mixed,1,106
241360-v2.0.0-mixed,3,467
241391-v2.0.0-mixed,2,246
241359-v2.0.0-mixed,3,467
241418-v2.0.0-mixed,5,389
241486-v2.0.0-mixed,1,106
241456-v2.0.0-mixed,2,250
241386-v2.0.0-mixed,5,459
241488-v2.0.0-mixed,2,141
241517-v2.0.0-mixed,1,106
241487-v2.0.0-mixed,2,141
241518-v2.0.0-mixed,1,106
241034-v2.0.0-mixed,4,615
241549-v2.0.0-mixed,1,106
241414-v2.0.0-mixed,3,381
241550-v2.0.0-mixed,1,106
241455-v2.0.0-mixed,2,250
241038-v2.0.0-mixed,6,622
241446-v2.0.0-mixed,3,443
241581-v2.0.0-mixed,1,106
241482-v2.0.0-mixed,5,320
241478-v2.0.0-mixed,3,314
241582-v2.0.0-mixed,1,106
241450-v2.0.0-mixed,5,451
241382-v2.0.0-mixed,3,451
241350-v2.0.0-mixed,5,753
241613-v2.0.0-mixed,1,106
241614-v2.0.0-mixed,1,106
241584-v2.0.0-mixed,2,246
241645-v2.0.0-mixed,1,106
241583-v2.0.0-mixed,2,246
241646-v2.0.0-mixed,1,106
241615-v2.0.0-mixed,2,195
241551-v2.0.0-mixed,3,467
241520-v2.0.0-mixed,3,522
